corso,tipo,comuni,gestione,inizio,sviluppo,termine,fishing_tour
ACQUABONA,FONTANA,CALTIGNAGA,LIBERA,CALTIGNAGA località cascina Acquabona frazione Sologno,percorre poche centinaia di metri,CALTIGNAGA dopo essersi unita con la sopracitata frazione Manette si disperde nelle risaie a SUD,
AGAMO,RIO,BORGOTICINO fr.GAGNAGO DIVIGNANO - MEZZOMERICO - OLEGGIO - MOMO,LIBERA,GAGNANO in comune di Borgoticino,DIVIGNANO MEZZOMERICO C.na Vergiasca OLEGGIO C.na Bolognini in località Fornaci MOMO frazione Castelletto,Torrente TERDOPPIO in comune di MOMO,
AGOGNA,TORRENTE,AMENO - ARMENO (Sovazza e Pisogno) - BARENGO - BOLZANO NOV. - BORGOLAVEZZARO - BORGOMANERO - BRIGA NOV. - CALTIGNAGA - CAVAGLIETTO - CAVAGLIO D'AGOGNA - CUREGGIO - FONTANETO D'AGOGNA - GRANOZZO - GOZZANO - MASSINO VISCONTI - MIASINO - MOMO - NOVARA - SAN,LIBERA,Monte MERGOZZOLO in provincia del V.C.O.,Sovazza-Armeno- Miasino-Ameno- Bolzano N.- Gozzano- BrigaN.- Borgomanero- Fontaneto- Cavaglio- Cavaglietto- Momo(Agnellengo)- Caltignaga(Sologno Morghengo) - Novara (Agognate- Lumellogno)- Granozzo con Monticello- Vespolate,BorgolavezzaroALBON ESE in provincia di Pavia,
AGOGNA VECCHIA,RIO,BRIGA NOV. - INVORIO - BORGOMANERO,LIBERA,cascina MALPENSATA in comune di INVORIO,INVORIO (cascina COSTANZA) BRIGA NOV. (cascina PIZZARINI- FALCINA) BORGOMANERO (San Marco),Torrente AGOGNA nel comune di BORGOMANERO,
AGOGNOLA,ROGGIA,CASALINO - VINZAGLIO,LIBERA,CASALINO località cascina GINESTRA dalla roggia MOLINARA,CASALINO - VINZAGLIO,VINZAGLIO frazione PERNASCA nel cavo CROCETTO,
ALTO NOVARESE -,DIRAMATORE,BELLINZAGO - CALTIGNAGA - BRIONA - CASTELLAZZO - MANDELLO - VICOLUNGO - RECETTO,EST SESIA - GESTIONE APD,imbocco dal canale Regina Elena a Cavagliano (Bellinzago),tutto il corso,versatore nel Canale Cavour di Recetto,
ARBOGNA,TORRENTE,BORGOLAVEZZARO - GARBAGNA - NOVARA - VESPOLATE - NIBBIOLA,LIBERA,NOVARA laghetti MARIINA frazione TORRION QUARTARA,NOVARA - GARBAGNA - NIBBIOLA - VESPOLATE - BORGOLAVEZZARO,BORGOLAVEZZARO confine con la provincia di PAVIA in comune di ALBONESE,
ARGINE,CAVO,BELLINZAGO - CAMERI,F.I.P.S.A.S,BELLINZAGO,dalla fine della Riserva Badia fino alla Fontana Valazza,CAMERI,
AVOGADRO,FONTANA,NOVARA,A.P.D.,testa di fontana,tutto il corso,c.le Cavour,
BACU',FONTANA,NOVARA,A.P.D.,testa di fontana,tutto il corso,abitato di Novara,
